unix,date,symbol,open,high,low,close,Volume JPY,Volume BTC
1649289600000,2022-04-07 00:00:00,BTC/JPY,5346399.99999945,5386699.99999993,5288399.99999998,5293600.00000014,108851903.48552288,20.5629257
1649286000000,2022-04-06 23:00:00,BTC/JPY,5390299.99999971,5399600.00000019,5342300.00000009,5345999.99999942,66753567.71027275,12.48663818
1649282400000,2022-04-06 22:00:00,BTC/JPY,5429699.99999957,5431000.00000043,5388599.99999974,5388599.99999974,31258340.790850494,5.80082782
1649278800000,2022-04-06 21:00:00,BTC/JPY,5434199.99999966,5448799.99999988,5424800.0000002,5433600.00000024,7089943.033920314,1.30483345
1649275200000,2022-04-06 20:00:00,BTC/JPY,5415500.00000027,5452900.00000057,5415299.9999998,5434299.99999963,25110274.52046729,4.62070083
1649271600000,2022-04-06 19:00:00,BTC/JPY,5428500.00000018,5442400.00000012,5388900.00000054,5417299.9999995,43004979.16163003,7.93845258
1649268000000,2022-04-06 18:00:00,BTC/JPY,5425499.99999971,5481899.99999972,5356199.99999982,5427899.99999962,354822550.93564415,65.37013411
1649264400000,2022-04-06 17:00:00,BTC/JPY,5420100.00000059,5445400.00000058,5377599.99999988,5429999.99999995,104233647.02489902,19.19588343
1649260800000,2022-04-06 16:00:00,BTC/JPY,5463690.9085,5474299.99999985,5399700.00000049,5421000.00000009,124207396.31703207,22.91226643
1649257200000,2022-04-06 15:00:00,BTC/JPY,5477599.99999951,5481299.99999956,5415529.11574402,5463319.675,94222502.09138921,17.24638273
1649253600000,2022-04-06 14:00:00,BTC/JPY,5475376.86290203,5501499.99999965,5434929.75000002,5478000.00000015,158375824.26798433,28.91124941
1649250000000,2022-04-06 13:00:00,BTC/JPY,5542200.00000047,5571400.00000019,5469999.99999989,5475376.86290203,87294743.4620077,15.94314796
1649246400000,2022-04-06 12:00:00,BTC/JPY,5548300.00000006,5570700.00000012,5533800.00000007,5542600.00000003,44502965.66793024,8.02925805
1649242800000,2022-04-06 11:00:00,BTC/JPY,5591600.00000007,5591600.00000007,5536911.66172603,5549500.00000027,27123074.36663132,4.88748074
1649239200000,2022-04-06 10:00:00,BTC/JPY,5613999.99999982,5634399.99999981,5580500.00000003,5585499.99999973,27798472.213103656,4.97689951
1649235600000,2022-04-06 09:00:00,BTC/JPY,5619499.99999993,5622000.00000015,5601999.99999998,5615100.00000012,59823823.882969275,10.65409768
1649232000000,2022-04-06 08:00:00,BTC/JPY,5610052.232428,5622400.00000039,5599900.00000041,5620199.9999994,38779529.55351786,6.90002661
1649228400000,2022-04-06 07:00:00,BTC/JPY,5637300.00000024,5641499.99999959,5606335.817488,5606335.817488,39405114.812706865,7.02867543
1649224800000,2022-04-06 06:00:00,BTC/JPY,5625200.0000001,5637099.99999998,5611699.99999976,5637099.99999998,26530786.567935906,4.70646016
1649221200000,2022-04-06 05:00:00,BTC/JPY,5616899.9999995,5627000.24544132,5612800.0,5625100.00000002,15730902.880524054,2.79655524
1649217600000,2022-04-06 04:00:00,BTC/JPY,5597979.67297801,5621699.99999963,5585499.99999951,5619499.99999946,30902533.27267203,5.49916065
1649214000000,2022-04-06 03:00:00,BTC/JPY,5603287.93527701,5609000.00000008,5589499.99999998,5589999.99999965,32003264.671297994,5.72509207
1649210400000,2022-04-06 02:00:00,BTC/JPY,5596099.9999996,5625699.99999947,5595599.99999968,5603411.83877601,153202522.0561501,27.34093557
1649206800000,2022-04-06 01:00:00,BTC/JPY,5576694.88498003,5619499.99999952,5571899.9999996,5598120.23417397,44639409.9075852,7.97399985
